"","Make","Model","Year","Engine.Fuel.Type","Engine.HP","Engine.Cylinders","Transmission.Type","Driven_Wheels","Number.of.Doors","Market.Category","Vehicle.Size","Vehicle.Style","highway.MPG","city.mpg","Popularity","MSRP","MSRP_range"
"104","Nissan","240SX",1998,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",25,20,2009,4107,"(0,1e+04]"
"113","Mazda","2",2012,"regular unleaded",100,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,29,586,16020,"(1e+04,2e+04]"
"114","Mazda","2",2012,"regular unleaded",100,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,29,586,14530,"(1e+04,2e+04]"
"115","Mazda","2",2012,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,586,16860,"(1e+04,2e+04]"
"116","Mazda","2",2012,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,586,15370,"(1e+04,2e+04]"
"117","Mazda","2",2013,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,586,17050,"(1e+04,2e+04]"
"118","Mazda","2",2013,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,586,15560,"(1e+04,2e+04]"
"119","Mazda","2",2013,"regular unleaded",100,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,29,586,16210,"(1e+04,2e+04]"
"120","Mazda","2",2013,"regular unleaded",100,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,29,586,14720,"(1e+04,2e+04]"
"121","Mazda","2",2014,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,586,17050,"(1e+04,2e+04]"
"122","Mazda","2",2014,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,586,15560,"(1e+04,2e+04]"
"123","Mazda","2",2014,"regular unleaded",100,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,29,586,16210,"(1e+04,2e+04]"
"124","Mazda","2",2014,"regular unleaded",100,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,29,586,14720,"(1e+04,2e+04]"
"125","BMW","3 Series Gran Turismo",2015,"premium unleaded (required)",300,6,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury,Performance","Midsize","4dr Hatchback",30,20,3916,47250,"(4e+04,6e+04]"
"126","BMW","3 Series Gran Turismo",2015,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury","Midsize","4dr Hatchback",33,22,3916,41850,"(4e+04,6e+04]"
"127","BMW","3 Series Gran Turismo",2015,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury","Midsize","4dr Hatchback",33,22,3916,41850,"(4e+04,6e+04]"
"128","BMW","3 Series Gran Turismo",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury","Midsize","4dr Hatchback",34,22,3916,43000,"(4e+04,6e+04]"
"129","BMW","3 Series Gran Turismo",2016,"premium unleaded (required)",300,6,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury,Performance","Midsize","4dr Hatchback",30,20,3916,49200,"(4e+04,6e+04]"
"130","BMW","3 Series Gran Turismo",2017,"premium unleaded (required)",320,6,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury,Performance","Midsize","4dr Hatchback",30,20,3916,49650,"(4e+04,6e+04]"
"131","BMW","3 Series Gran Turismo",2017,"premium unleaded (required)",248,4,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury","Midsize","4dr Hatchback",33,23,3916,43950,"(4e+04,6e+04]"
"132","BMW","3 Series",2015,"premium unleaded (required)",241,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",33,22,3916,41950,"(4e+04,6e+04]"
"133","BMW","3 Series",2015,"premium unleaded (required)",335,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance,Hybrid","Midsize","Sedan",33,25,3916,50150,"(4e+04,6e+04]"
"134","BMW","3 Series",2015,"premium unleaded (required)",240,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",35,23,3916,37500,"(2e+04,4e+04]"
"135","BMW","3 Series",2015,"premium unleaded (required)",300,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",32,21,3916,43750,"(4e+04,6e+04]"
"136","BMW","3 Series",2015,"diesel",180,4,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Midsize","Sedan",45,32,3916,39000,"(2e+04,4e+04]"
"137","BMW","3 Series",2015,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",33,22,3916,39500,"(2e+04,4e+04]"
"138","BMW","3 Series",2015,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",33,22,3916,39500,"(2e+04,4e+04]"
"139","BMW","3 Series",2015,"premium unleaded (required)",180,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",35,23,3916,34950,"(2e+04,4e+04]"
"140","BMW","3 Series",2015,"premium unleaded (required)",300,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",30,20,3916,45750,"(4e+04,6e+04]"
"141","BMW","3 Series",2015,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Wagon",43,31,3916,43450,"(4e+04,6e+04]"
"142","BMW","3 Series",2015,"premium unleaded (required)",240,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",35,23,3916,37500,"(2e+04,4e+04]"
"143","BMW","3 Series",2015,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Sedan",43,31,3916,41000,"(4e+04,6e+04]"
"144","BMW","3 Series",2015,"premium unleaded (required)",180,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",36,24,3916,32950,"(2e+04,4e+04]"
"145","BMW","3 Series",2016,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Sedan",40,30,3916,41850,"(4e+04,6e+04]"
"146","BMW","3 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","all wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",33,22,3916,47800,"(4e+04,6e+04]"
"147","BMW","3 Series",2016,"diesel",180,4,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Midsize","Sedan",42,32,3916,39850,"(2e+04,4e+04]"
"148","BMW","3 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",34,22,3916,38350,"(2e+04,4e+04]"
"149","BMW","3 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",34,22,3916,40350,"(4e+04,6e+04]"
"150","BMW","3 Series",2016,"premium unleaded (required)",240,4,"MANUAL","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",34,22,3916,38350,"(2e+04,4e+04]"
"151","BMW","3 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",34,22,3916,42650,"(4e+04,6e+04]"
"152","BMW","3 Series",2016,"premium unleaded (required)",180,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",36,24,3916,33150,"(2e+04,4e+04]"
"153","BMW","3 Series",2016,"premium unleaded (required)",180,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",35,23,3916,35150,"(2e+04,4e+04]"
"154","BMW","3 Series",2016,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Wagon",40,30,3916,44150,"(4e+04,6e+04]"
"155","BMW","3 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",33,22,3916,45800,"(4e+04,6e+04]"
"156","BMW","3 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",34,23,3916,38750,"(2e+04,4e+04]"
"157","BMW","3 Series",2017,"premium unleaded (recommended)",180,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",34,23,3916,35450,"(2e+04,4e+04]"
"158","BMW","3 Series",2017,"premium unleaded (recommended)",180,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",35,23,3916,33450,"(2e+04,4e+04]"
"159","BMW","3 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",33,23,3916,40750,"(4e+04,6e+04]"
"160","BMW","3 Series",2017,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Sedan",40,30,3916,42250,"(4e+04,6e+04]"
"161","BMW","3 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",33,23,3916,42950,"(4e+04,6e+04]"
"162","BMW","3 Series",2017,"diesel",180,4,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Midsize","Sedan",42,32,3916,40250,"(4e+04,6e+04]"
"163","BMW","3 Series",2017,"premium unleaded (recommended)",320,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",31,21,3916,49900,"(4e+04,6e+04]"
"164","BMW","3 Series",2017,"premium unleaded (recommended)",320,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",32,21,3916,47900,"(4e+04,6e+04]"
"165","BMW","3 Series",2017,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Wagon",40,30,3916,44450,"(4e+04,6e+04]"
"173","Mercedes-Benz","300-Class",1991,"regular unleaded",228,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",21,14,617,3552,"(0,1e+04]"
"178","Mercedes-Benz","300-Class",1992,"regular unleaded",228,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",21,15,617,3814,"(0,1e+04]"
"189","Mercedes-Benz","300-Class",1993,"regular unleaded",228,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",21,14,617,4174,"(0,1e+04]"
"195","Mitsubishi","3000GT",1997,"regular unleaded",218,6,"MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",23,17,436,3941,"(0,1e+04]"
"196","Mitsubishi","3000GT",1997,"regular unleaded",161,6,"MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",22,17,436,3295,"(0,1e+04]"
"197","Mitsubishi","3000GT",1997,"regular unleaded",320,6,"MANUAL","all wheel drive",2,"Hatchback,Factory Tuner,Performance","Compact","2dr Hatchback",22,16,436,6008,"(0,1e+04]"
"198","Mitsubishi","3000GT",1998,"regular unleaded",320,6,"MANUAL","all wheel drive",2,"Hatchback,Factory Tuner,Performance","Compact","2dr Hatchback",22,16,436,6710,"(0,1e+04]"
"199","Mitsubishi","3000GT",1998,"regular unleaded",161,6,"MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",22,17,436,3701,"(0,1e+04]"
"200","Mitsubishi","3000GT",1998,"regular unleaded",218,6,"MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",23,17,436,4671,"(0,1e+04]"
"201","Mitsubishi","3000GT",1999,"regular unleaded",218,6,"MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",23,17,436,5306,"(0,1e+04]"
"202","Mitsubishi","3000GT",1999,"regular unleaded",320,6,"MANUAL","all wheel drive",2,"Hatchback,Factory Tuner,Performance","Compact","2dr Hatchback",22,16,436,7600,"(0,1e+04]"
"203","Mitsubishi","3000GT",1999,"regular unleaded",161,6,"MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",22,17,436,4090,"(0,1e+04]"
"204","Chrysler","300",2015,"regular unleaded",300,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,1013,37570,"(2e+04,4e+04]"
"205","Chrysler","300",2015,"regular unleaded",292,6,"AUTOMATIC","rear wheel drive",4,"N/A","Large","Sedan",31,19,1013,31695,"(2e+04,4e+04]"
"206","Chrysler","300",2015,"regular unleaded",292,6,"AUTOMATIC","rear wheel drive",4,"N/A","Large","Sedan",31,19,1013,38070,"(2e+04,4e+04]"
"207","Chrysler","300",2015,"regular unleaded",292,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,1013,44895,"(4e+04,6e+04]"
"208","Chrysler","300",2015,"regular unleaded",300,6,"AUTOMATIC","rear wheel drive",4,"Performance","Large","Sedan",31,19,1013,35070,"(2e+04,4e+04]"
"209","Chrysler","300",2015,"regular unleaded",292,6,"AUTOMATIC","rear wheel drive",4,"Performance","Large","Sedan",31,19,1013,42395,"(4e+04,6e+04]"
"210","Chrysler","300",2015,"regular unleaded",292,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,1013,34195,"(2e+04,4e+04]"
"211","Chrysler","300",2015,"regular unleaded",292,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,1013,40570,"(4e+04,6e+04]"
"212","Chrysler","300",2016,"regular unleaded",300,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,1013,38095,"(2e+04,4e+04]"
"213","Chrysler","300",2016,"regular unleaded",300,6,"AUTOMATIC","rear wheel drive",4,"Performance","Large","Sedan",31,19,1013,35595,"(2e+04,4e+04]"
"214","Chrysler","300",2016,"regular unleaded",292,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,1013,45190,"(4e+04,6e+04]"
"215","Chrysler","300",2016,"regular unleaded",292,6,"AUTOMATIC","rear wheel drive",4,"N/A","Large","Sedan",31,19,1013,32260,"(2e+04,4e+04]"
"216","Chrysler","300",2016,"regular unleaded",292,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,1013,37755,"(2e+04,4e+04]"
"217","Chrysler","300",2016,"regular unleaded",292,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,1013,41055,"(4e+04,6e+04]"
"218","Chrysler","300",2016,"regular unleaded",300,6,"AUTOMATIC","rear wheel drive",4,"Performance","Large","Sedan",31,19,1013,36090,"(2e+04,4e+04]"
"219","Chrysler","300",2016,"regular unleaded",292,6,"AUTOMATIC","rear wheel drive",4,"Performance","Large","Sedan",31,19,1013,42690,"(4e+04,6e+04]"
"220","Chrysler","300",2016,"regular unleaded",292,6,"AUTOMATIC","rear wheel drive",4,"N/A","Large","Sedan",31,19,1013,38555,"(2e+04,4e+04]"
